State,Male_Under_18,Female_Under_18,Total_Under_18,Male_Above_18,Female_Above_18,Total_Above_18,Total_Male,Total_Female,Total_Victims
Andhra Pradesh,6,8,14,4,275,279,10,283,293
Arunachal Pradesh,0,1,1,1,2,3,1,3,4
Assam,29,94,123,44,62,106,73,156,229
Bihar,464,149,613,35,103,138,499,252,751
Chhattisgarh,8,18,26,9,6,15,17,24,41
Goa,0,0,0,0,1,1,0,1,1
Gujarat,2,4,6,0,6,6,2,10,12
Haryana,2,11,13,0,7,7,2,18,20
Himachal Pradesh,0,0,0,0,13,13,0,13,13
Jharkhand,33,96,129,10,29,39,43,125,168
Karnataka,5,2,7,0,58,58,5,60,65
Kerala,14,126,140,5,26,31,19,152,171
Madhya Pradesh,23,68,91,22,45,67,45,113,158
Maharashtra,12,44,56,5,744,749,17,788,805
Manipur,0,0,0,0,0,0,0,0,0
Meghalaya,0,0,0,0,2,2,0,2,2
Mizoram,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,213,140,353,405,362,767,618,502,1120
Punjab,6,6,12,7,7,14,13,13,26
Rajasthan,438,15,453,2,6,8,440,21,461
Sikkim,0,0,0,0,1,1,0,1,1
Tamil Nadu,1,2,3,1,1,2,2,3,5
Telangana,38,25,63,0,641,641,38,666,704
Tripura,0,0,0,0,0,0,0,0,0
Uttar Pradesh,8,65,73,0,68,68,8,133,141
Uttarakhand,3,4,7,0,23,23,3,27,30
West Bengal,18,60,78,3,12,15,21,72,93
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,1,1,0,1,1
Dadra & Nagar Haveli and Daman & Diu,0,0,0,0,0,0,0,0,0
Delhi,492,113,605,49,33,82,541,146,687
Jammu & Kashmir,2,8,10,0,1,1,2,9,11
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,2,0,2,21,0,21,23,0,23
